date,avg_sentiment,sentiment_std,news_count,weighted_avg_sentiment,weighted_sentiment_std,avg_priority,max_priority,total_priority,drug_specific_count,company_news_count,fda_milestones,market_impacts,drug_news_ratio,has_application_phase,has_clinical_trials,has_regulatory_review,has_approval_process,has_post_approval,has_regulatory_issues,day_importance_score
2019-11-21,-0.049398787878787875,0.0886753793268477,5,-0.049398787878787875,0.0886753793268477,8.0,8,40,0,0,Other,Other,0.0,0,0,0,0,0,0,8
2019-11-22,0.05135,0.0,2,0.05135,0.0,8.0,8,16,0,0,Other,Other,0.0,0,0,0,0,0,0,8
2019-11-23,0.05135,0.0,2,0.05135,0.0,8.0,8,16,0,0,Other,Other,0.0,0,0,0,0,0,0,8
2019-12-03,0.36755,0.0,2,0.7351,0.0,11.0,11,22,0,2,approval_process,Other,0.0,0,0,0,1,0,0,31
2020-01-06,0.16682878787878788,0.1542899418344747,5,0.16682878787878788,0.1542899418344747,1.0,1,5,0,5,Other,Other,0.0,0,0,0,0,0,0,1
2020-01-07,0.29825,0.0,1,0.29825,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-01-10,0.04545454545454545,0.0,1,0.04545454545454545,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-01-27,-0.36755,0.0,2,-0.36755,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2020-01-28,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2020-02-08,0.32985,0.0,1,0.32985,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-02-22,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-02-25,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-03-11,0.6258666666666667,0.0,1,0.6258666666666667,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-03-20,0.52515,0.0,1,0.52515,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-04-01,0.051550000000000006,0.0,4,0.051550000000000006,0.0,1.0,1,4,0,4,Other,Other,0.0,0,0,0,0,0,0,1
2020-04-07,0.33840454545454546,0.0,1,0.33840454545454546,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-04-14,-0.025,0.0,1,-0.025,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-04-16,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-05-15,0.3747833333333333,0.042666184893113315,3,0.3747833333333333,0.042666184893113315,9.0,9,27,0,3,Other,Other,0.0,0,0,0,0,0,0,9
2020-05-16,0.35015,0.0,1,0.35015,0.0,9.0,9,9,0,1,Other,Other,0.0,0,0,0,0,0,0,9
