Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company,Type,Source,Daily_Return,Daily_Return_Percent,MA_20,MA_50,MA_200,RSI,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,Volume_MA_20,Volume_Ratio,Volatility_20D,Price_Change_5D,Price_Change_20D,NIFTY50_Close,NIFTY50_Return,NIFTY_PHARMA_Close,NIFTY_PHARMA_Return,Year,Month,Day_of_Week,Is_Month_End,Is_Quarter_End,avg_sentiment,sentiment_std,news_count,weighted_avg_sentiment,weighted_sentiment_std,avg_priority,max_priority,total_priority,drug_specific_count,company_news_count,fda_milestones,market_impacts,drug_news_ratio,has_application_phase,has_clinical_trials,has_regulatory_review,has_approval_process,has_post_approval,has_regulatory_issues,day_importance_score,Return_1D,Return_3D,Return_5D,MA_5,Price_Above_MA_5,MA_10,Price_Above_MA_10,Price_Above_MA_20,Volatility_5D,Momentum_5D,Momentum_20D,Volume_MA_10,High_Volume,Positive_Sentiment,Negative_Sentiment,Strong_Sentiment,Sentiment_Change,Sentiment_MA_3,Major_FDA_Event,Minor_FDA_Event,Days_Since_FDA,Is_Monday,Is_Friday,Is_Earnings_Month,RSI_Oversold,RSI_Overbought,MACD_Positive,Sentiment_Volume_Signal,FDA_Sentiment_Signal,Next_Day_Up,Next_3Day_Up,Next_Day_Significant_Up,Next_Day_Significant_Down,Next_Day_Significant_Move,Next_Day_Return_Clean
2015-01-30,67.65709874889717,68.78198367342603,67.36151398190552,68.10869598388672,3130188,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0119555526586503,1.1955552658650337,69.00695915222168,,,48.8142250754968,-0.2982744440194409,-0.0952002953055054,69.00695915222168,71.89637207012015,66.11754623432321,3967809.3,0.6821996894325333,0.23170194022193918,-2.4920543274506213,-2.4232572359149662,8808.900390625,-0.0160236390455281,11693.5498046875,-0.0049778550101673,2015,1,4,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.011955552658650337,0.012820534638599446,-0.024920543274506213,67.57006530761718,1,68.96261978149414,0,0,0.24196406570747944,-0.024920543274506213,-0.024232572359149662,4588374.0,0,0,0,0,0.0,0.0,0,0,21,0,1,1,0,0,0,0,0.0,1,1,1,0,1,0.01784199043299739
2015-02-02,67.98553167439582,70.29277062971137,67.98553167439582,69.32389068603516,4371726,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0178419904329973,1.784199043299739,68.95276718139648,,,51.72411404205351,-0.2192114664238715,-0.1201868981161061,68.95276718139648,71.77134873006678,66.13418563272619,3988297.5,0.9237821012212523,0.238997727411995,2.190746171567226,-1.5393755982836654,8797.400390625,-0.001305497790875,11627.650390625,-0.0056355354159507,2015,2,0,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.01784199043299739,0.029257608433767013,0.02190746171567226,67.86729583740234,1,68.83370895385742,1,1,0.1672497249184704,0.02190746171567226,-0.015393755982836654,4732420.2,0,0,0,0,0.0,0.0,0,0,22,1,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0
2015-02-03,69.78368345495119,70.61297591193484,68.99545006666871,69.9150619506836,4219668,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0085276700254148,0.852767002541488,68.92320709228515,,,48.86465057104567,-0.1151326275509205,-0.1191700415413106,68.92320709228515,71.68501782386055,66.16139636070976,4112781.6,0.877834223399676,0.24114483441961998,3.968236950146365,-0.8385095889723138,8756.5498046875,-0.0046434837706185,11520.0,-0.0092581378875817,2015,2,1,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.00852767002541488,0.03879444663286735,0.039682369501463644,68.40099639892578,1,68.73600006103516,1,1,0.12037828764212787,0.039682369501463644,-0.008385095889723138,4806906.6,0,0,0,0,0.0,0.0,0,0,23,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0
2015-02-04,70.11213237597835,70.94142499805292,69.79191367280725,70.16960906982422,4199268,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0036408051718552,0.3640805171855277,69.02584266662598,,,53.72830183665005,-0.015438633666065,-0.098325323568763,69.02584266662598,71.81392990374263,66.23775542950932,4193346.3,0.8452117692987634,0.2060814924151697,4.181406007681576,3.0135128868941097,8723.7001953125,-0.003751432939651,11625.7001953125,0.0091753641764322,2015,2,2,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.003640805171855277,0.030259176984170688,0.04181406007681576,68.96425933837891,1,68.70972518920898,1,1,0.11439641591902437,0.04181406007681576,0.030135128868941097,4968301.8,0,0,0,0,0.0,0.0,0,0,24,0,0,0,0,0,0,0,0.0,0,0,0,1,1,-0.016381924594806474
2015-02-05,70.58014525524011,70.77720927397776,68.17437809244457,69.02009582519531,4394418,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0163819245948064,-1.6381924594806474,69.15680541992188,,,40.04034334118779,-0.0176290686842719,-0.0821248690049533,69.15680541992188,71.65691774396723,66.65669309587653,4201632.9,0.8485736031275518,0.19285649972122865,2.549708530409478,3.944611297036938,8711.7001953125,-0.0013755630903555,11522.099609375,-0.0089113416135805,2015,2,3,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.016381924594806474,-0.004382253474717879,0.02549708530409478,69.307470703125,0,68.61283645629882,1,0,0.20769334634515635,0.02549708530409478,0.039446112970369374,5178592.8,0,0,0,0,0.0,0.0,0,0,25,0,0,0,0,0,0,0,0.0,0,0,0,1,1,-0.01974774617033004
2015-02-06,68.83124988560736,69.08579063087664,67.32867694542826,67.6571044921875,3071064,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.01974774617033,-1.974774617033004,69.16747970581055,,,34.374911779058465,-0.1148321172576629,-0.0886861489072041,69.16747970581055,71.63844726992161,66.69651214169949,4197905.4,0.6386372783464302,0.20037085680005795,-0.6630452766355321,0.3165395357676459,8661.0498046875,-0.0058140649344491,11322.9501953125,-0.0172841253603172,2015,2,4,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.01974774617033004,-0.032295722774139946,-0.0066304527663553214,69.21715240478515,0,68.39360885620117,0,0,0.25782825689126865,-0.0066304527663553214,0.0031653953576764593,4808775.6,0,0,0,0,0.0,0.0,0,0,26,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0.0
2015-02-09,67.46004796413195,68.19081241081449,66.77855140807564,67.6571044921875,2007228,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0,0.0,69.1350471496582,,,32.37926322893361,-0.1892251678755769,-0.1088426882225033,69.1350471496582,71.66984126783774,66.60025303147867,4107766.8,0.49497588727727504,0.1948132103160515,-2.4043460015775175,-0.949628793656454,8526.349609375,-0.015552409736704,11289.400390625,-0.0029629914561832,2015,2,0,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.0,-0.0358061646764567,-0.024043460015775175,68.88379516601563,0,68.37554550170898,0,0,0.19914280211808746,-0.024043460015775175,-0.00949628793656454,4055202.6,0,0,0,0,0.0,0.0,0,0,27,1,0,0,0,0,0,0,0.0,1,1,0,0,0,0.0
2015-02-10,67.65709960560795,68.84767004898838,67.32867208256961,67.70636749267578,2002056,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0007281275315877,0.0728127531587796,69.06936073303223,,,34.45688875896455,-0.2415036382721496,-0.1354262984128128,69.06936073303223,71.68354183460295,66.4551796314615,4071404.1,0.5693381910191659,0.19063393997372563,-3.1591110647456344,-1.9033997516415544,8565.5498046875,0.004597535534949,11283.5,-0.0005226487165695,2015,2,1,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.0007281275315877966,-0.019033997516415546,-0.031591110647456344,68.44205627441406,0,68.42152633666993,0,0,0.17214468644446881,-0.031591110647456344,-0.019033997516415546,3516460.8,0,0,0,0,0.0,0.0,0,0,28,0,0,0,0,0,0,0,0.0,1,1,1,0,1,0.029468779273076118
2015-02-11,67.83773348801151,70.08749568205317,67.83773348801151,69.70159149169922,2466582,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0294687792730761,2.946877927307612,69.04924392700195,,,48.60773024066541,-0.1356556494616967,-0.1354722397133088,69.04924392700195,71.63595172438355,66.46253612962036,3935286.6,0.7372611251740195,0.21163295269049656,-0.6669804553981251,-0.5739138081257145,8627.400390625,0.0072208541597238,11391.7001953125,0.0095892405115878,2015,2,2,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.029468779273076118,0.030218363834175088,-0.006669804553981251,68.34845275878907,1,68.65635604858399,1,1,0.30947560892098747,-0.006669804553981251,-0.005739138081257145,3345600.6,0,0,0,0,0.0,0.0,0,0,29,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0.0
2015-02-12,69.9971865931767,70.18603431220268,68.64240228803637,69.05294799804688,2342514,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0093060069328487,-0.9306006932848776,69.02338027954102,,,46.32303214062297,-0.0985606633106925,-0.1280807742417292,69.02338027954102,71.59847312149387,66.44828743758816,3887234.4,0.7273821522197893,0.21250263524810473,0.0475979820931726,-0.7435263855361973,8711.5498046875,0.0097537392786291,11598.25,0.0181316046899209,2015,2,3,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.009306006932848776,0.020631144597986095,0.00047597982093172675,68.35502319335937,1,68.83124694824218,1,1,0.2911201458756985,0.00047597982093172675,-0.007435263855361973,3220471.2,0,0,0,0,0.0,0.0,0,0,30,0,0,0,0,0,0,0,0.0,1,1,1,0,1,0.07110568354025926
